>Grupo_1 Identificou 1520:
1_1	p_riboswitch=0.567109
3_1	p_riboswitch=0.797489
7_1	p_riboswitch=0.762880
23_1	p_riboswitch=0.518397
25_1	p_riboswitch=0.805553
29_1	p_riboswitch=0.589813
66_1	p_riboswitch=0.706997
136_1	p_riboswitch=0.507959
256_1	p_riboswitch=0.762880
278_1	p_riboswitch=0.589813
1034_1	p_riboswitch=0.859586
1072_1	p_riboswitch=0.611342
1091_1	p_riboswitch=0.556364
1283_1	p_riboswitch=0.859586
1284_1	p_riboswitch=0.932809
1287_1	p_riboswitch=0.857328
1305_1	p_riboswitch=0.947339
1321_1	p_riboswitch=0.611342
1325_1	p_riboswitch=0.700971
1328_1	p_riboswitch=0.674017
1340_1	p_riboswitch=0.556364
1344_1	p_riboswitch=0.529629
1395_1	p_riboswitch=0.566517
1410_1	p_riboswitch=0.688660
1532_1	p_riboswitch=0.859586
1533_1	p_riboswitch=0.932809
1536_1	p_riboswitch=0.857328
1537_1	p_riboswitch=0.549665
1538_1	p_riboswitch=0.998120
1539_1	p_riboswitch=0.957100
1540_1	p_riboswitch=0.955693
1554_1	p_riboswitch=0.947339
1559_1	p_riboswitch=0.997280
1560_1	p_riboswitch=0.999032
1561_1	p_riboswitch=0.975080
1570_1	p_riboswitch=0.611342
1574_1	p_riboswitch=0.700971
1577_1	p_riboswitch=0.674017
1579_1	p_riboswitch=0.997943
1580_1	p_riboswitch=0.998685
1581_1	p_riboswitch=0.999343
1589_1	p_riboswitch=0.556364
1593_1	p_riboswitch=0.529628
1598_1	p_riboswitch=0.991025
1599_1	p_riboswitch=0.998806
1600_1	p_riboswitch=0.999164
1616_1	p_riboswitch=0.549320
1617_1	p_riboswitch=0.996251
1618_1	p_riboswitch=0.999155
1633_1	p_riboswitch=0.573049
1634_1	p_riboswitch=0.998932
1635_1	p_riboswitch=0.997994
1644_1	p_riboswitch=0.566517
1650_1	p_riboswitch=0.996501
1651_1	p_riboswitch=0.999135
1659_1	p_riboswitch=0.688660
1665_1	p_riboswitch=0.997831
1666_1	p_riboswitch=0.998945
1679_1	p_riboswitch=0.992014
1680_1	p_riboswitch=0.998478
1692_1	p_riboswitch=0.989067
1693_1	p_riboswitch=0.987689
1705_1	p_riboswitch=0.978023
1725_1	p_riboswitch=0.972774
1734_1	p_riboswitch=0.985868
1735_1	p_riboswitch=0.981308
1743_1	p_riboswitch=0.960570
1749_1	p_riboswitch=0.894039
1750_1	p_riboswitch=0.992043
1755_1	p_riboswitch=0.718568
1756_1	p_riboswitch=0.955642
1760_1	p_riboswitch=0.684644
1764_1	p_riboswitch=0.976797
1765_1	p_riboswitch=0.815961
1767_1	p_riboswitch=0.808761
1768_1	p_riboswitch=0.985240
1770_1	p_riboswitch=0.807738
1781_1	p_riboswitch=0.859586
1782_1	p_riboswitch=0.932809
1785_1	p_riboswitch=0.857328
1786_1	p_riboswitch=0.549665
1787_1	p_riboswitch=0.998120
1788_1	p_riboswitch=0.957100
1789_1	p_riboswitch=0.955693
1790_1	p_riboswitch=0.966884
1791_1	p_riboswitch=0.993673
1792_1	p_riboswitch=0.983860
1793_1	p_riboswitch=0.847119
1803_1	p_riboswitch=0.947339
1808_1	p_riboswitch=0.997280
1809_1	p_riboswitch=0.999032
1810_1	p_riboswitch=0.975080
1811_1	p_riboswitch=0.979481
1812_1	p_riboswitch=0.944628
1813_1	p_riboswitch=0.995203
1814_1	p_riboswitch=0.702282
1819_1	p_riboswitch=0.611342
1823_1	p_riboswitch=0.700970
1826_1	p_riboswitch=0.674017
1828_1	p_riboswitch=0.997943
1829_1	p_riboswitch=0.998685
1830_1	p_riboswitch=0.999343
1831_1	p_riboswitch=0.985787
1832_1	p_riboswitch=0.998395
1833_1	p_riboswitch=0.964020
1834_1	p_riboswitch=0.817923
1838_1	p_riboswitch=0.556364
1842_1	p_riboswitch=0.529628
1847_1	p_riboswitch=0.991025
1848_1	p_riboswitch=0.998806
1849_1	p_riboswitch=0.999164
1850_1	p_riboswitch=0.999535
1851_1	p_riboswitch=0.997681
1852_1	p_riboswitch=0.998590
1853_1	p_riboswitch=0.986094
1865_1	p_riboswitch=0.549320
1866_1	p_riboswitch=0.996251
1867_1	p_riboswitch=0.999155
1868_1	p_riboswitch=0.999466
1869_1	p_riboswitch=0.997620
1870_1	p_riboswitch=0.997634
1871_1	p_riboswitch=0.960098
1882_1	p_riboswitch=0.573049
1883_1	p_riboswitch=0.998932
1884_1	p_riboswitch=0.997994
1885_1	p_riboswitch=0.999403
1886_1	p_riboswitch=0.999542
1887_1	p_riboswitch=0.997586
1888_1	p_riboswitch=0.991633
1893_1	p_riboswitch=0.566517
1899_1	p_riboswitch=0.996501
1900_1	p_riboswitch=0.999135
1901_1	p_riboswitch=0.998768
1902_1	p_riboswitch=0.999530
1903_1	p_riboswitch=0.999505
1904_1	p_riboswitch=0.998543
1908_1	p_riboswitch=0.688660
1914_1	p_riboswitch=0.997831
1915_1	p_riboswitch=0.998945
1916_1	p_riboswitch=0.994791
1917_1	p_riboswitch=0.999293
1918_1	p_riboswitch=0.999486
1919_1	p_riboswitch=0.998561
1928_1	p_riboswitch=0.992014
1929_1	p_riboswitch=0.998478
1930_1	p_riboswitch=0.998168
1931_1	p_riboswitch=0.997080
1932_1	p_riboswitch=0.999154
1933_1	p_riboswitch=0.998553
1941_1	p_riboswitch=0.989067
1942_1	p_riboswitch=0.987689
1943_1	p_riboswitch=0.999024
