>1_1	p_riboswitch=0.567109
>2_1	p_riboswitch=0.495140
>3_1	p_riboswitch=0.797489
>4_1	p_riboswitch=0.064508
>5_1	p_riboswitch=0.061047
>6_1	p_riboswitch=0.065293
>7_1	p_riboswitch=0.762880
>8_1	p_riboswitch=0.233011
>9_1	p_riboswitch=0.203346
>10_1	p_riboswitch=0.108756
>11_1	p_riboswitch=0.030404
>12_1	p_riboswitch=0.079983
>13_1	p_riboswitch=0.066703
>14_1	p_riboswitch=0.080753
>15_1	p_riboswitch=0.004772
>16_1	p_riboswitch=0.005092
>17_1	p_riboswitch=0.004394
>18_1	p_riboswitch=0.004004
>19_1	p_riboswitch=0.006611
>20_1	p_riboswitch=0.012202
>21_1	p_riboswitch=0.009153
>22_1	p_riboswitch=0.014801
>23_1	p_riboswitch=0.518397
>24_1	p_riboswitch=0.421137
>25_1	p_riboswitch=0.805553
>26_1	p_riboswitch=0.061653
>27_1	p_riboswitch=0.054628
>28_1	p_riboswitch=0.057501
>29_1	p_riboswitch=0.589813
>30_1	p_riboswitch=0.284293
>31_1	p_riboswitch=0.026074
>32_1	p_riboswitch=0.100238
>33_1	p_riboswitch=0.170629
>34_1	p_riboswitch=0.073529
>35_1	p_riboswitch=0.082151
>36_1	p_riboswitch=0.010381
>37_1	p_riboswitch=0.005511
>38_1	p_riboswitch=0.004214
>39_1	p_riboswitch=0.004061
>40_1	p_riboswitch=0.003774
>41_1	p_riboswitch=0.008881
>42_1	p_riboswitch=0.006247
>43_1	p_riboswitch=0.015434
>44_1	p_riboswitch=0.428477
>45_1	p_riboswitch=0.413329
>46_1	p_riboswitch=0.108179
>47_1	p_riboswitch=0.055200
>48_1	p_riboswitch=0.008668
>49_1	p_riboswitch=0.032093
>50_1	p_riboswitch=0.430549
>51_1	p_riboswitch=0.026640
>52_1	p_riboswitch=0.027850
>53_1	p_riboswitch=0.129834
>54_1	p_riboswitch=0.072253
>55_1	p_riboswitch=0.110623
>56_1	p_riboswitch=0.066567
>57_1	p_riboswitch=0.014045
>58_1	p_riboswitch=0.004445
>59_1	p_riboswitch=0.003918
>60_1	p_riboswitch=0.003851
>61_1	p_riboswitch=0.006818
>62_1	p_riboswitch=0.012945
>63_1	p_riboswitch=0.013866
>64_1	p_riboswitch=0.415688
>65_1	p_riboswitch=0.033249
>66_1	p_riboswitch=0.706997
>67_1	p_riboswitch=0.004747
>68_1	p_riboswitch=0.003410
>69_1	p_riboswitch=0.021653
>70_1	p_riboswitch=0.202254
>71_1	p_riboswitch=0.028947
>72_1	p_riboswitch=0.235103
>73_1	p_riboswitch=0.113860
>74_1	p_riboswitch=0.070497
