qseqid,y_true_idx,y_true_name,y_pred_idx,y_pred_name,p_riboswitch,qseqid_full,id_global,group_id,qid_short
query_1,0,genomicbackground,0,genomicbackground,0.009090786799788475,1_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_0_percentage_0_position_0-0 genomicbackground,1,2,1_2
query_2,0,genomicbackground,0,genomicbackground,0.0035686814226210117,2_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_5_percentage_0_position_0-0 genomicbackground,2,2,2_2
query_3,0,genomicbackground,0,genomicbackground,0.0036754135508090258,3_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_10_percentage_0_position_0-0 genomicbackground,3,2,3_2
query_4,0,genomicbackground,0,genomicbackground,0.20501694083213806,4_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_15_percentage_0_position_0-0 genomicbackground,4,2,4_2
query_5,0,genomicbackground,0,genomicbackground,0.017634516581892967,5_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_20_percentage_0_position_0-0 genomicbackground,5,2,5_2
query_6,0,genomicbackground,0,genomicbackground,0.11880342662334442,6_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_25_percentage_0_position_0-0 genomicbackground,6,2,6_2
query_7,0,genomicbackground,0,genomicbackground,0.0677889734506607,7_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_30_percentage_0_position_0-0 genomicbackground,7,2,7_2
query_8,0,genomicbackground,0,genomicbackground,0.03717802092432976,8_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_35_percentage_0_position_0-0 genomicbackground,8,2,8_2
query_9,0,genomicbackground,0,genomicbackground,0.09380645304918289,9_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_40_percentage_0_position_0-0 genomicbackground,9,2,9_2
query_10,0,genomicbackground,0,genomicbackground,0.03604717552661896,10_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_45_percentage_0_position_0-0 genomicbackground,10,2,10_2
query_11,0,genomicbackground,0,genomicbackground,0.009977090172469616,11_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_50_percentage_0_position_0-0 genomicbackground,11,2,11_2
query_12,0,genomicbackground,0,genomicbackground,0.010583036579191685,12_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_55_percentage_0_position_0-0 genomicbackground,12,2,12_2
query_13,0,genomicbackground,0,genomicbackground,0.01394124049693346,13_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_60_percentage_0_position_0-0 genomicbackground,13,2,13_2
query_14,0,genomicbackground,0,genomicbackground,0.33641377091407776,14_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_65_percentage_0_position_0-0 genomicbackground,14,2,14_2
query_15,0,genomicbackground,0,genomicbackground,0.016729360446333885,15_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_70_percentage_0_position_0-0 genomicbackground,15,2,15_2
query_16,0,genomicbackground,0,genomicbackground,0.009017917327582836,16_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_75_percentage_0_position_0-0 genomicbackground,16,2,16_2
query_17,0,genomicbackground,0,genomicbackground,0.002079116413369775,17_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_80_percentage_0_position_0-0 genomicbackground,17,2,17_2
query_18,0,genomicbackground,0,genomicbackground,0.002390865236520767,18_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_85_percentage_0_position_0-0 genomicbackground,18,2,18_2
query_19,0,genomicbackground,0,genomicbackground,0.040263235569000244,19_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_90_percentage_0_position_0-0 genomicbackground,19,2,19_2
query_20,0,genomicbackground,0,genomicbackground,0.0003983525384683162,20_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_95_percentage_0_position_0-0 genomicbackground,20,2,20_2
query_21,0,genomicbackground,0,genomicbackground,0.00034624291583895683,21_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_100_percentage_0_position_0-0 genomicbackground,21,2,21_2
