family,species,tree,seq_id
Aerococcaceae,Facklamia hominis CCUG 36813,RF03164,"JH932292.1/1062233-1062151_Facklamia_hominis_CCUG_36813_genomic_scaffold_supercont1.1,_whole_genome_shotgun_sequence_RF03164"
Carnobacteriaceae,Dolosigranulum pigrum ATCC 51524,RF03164,"JH601103.1/54159-54246_Dolosigranulum_pigrum_ATCC_51524_genomic_scaffold_supercont1.1,_whole_genome_shotgun_sequence_RF03164"
Peptoniphilaceae,Helcococcus kunzii ATCC 51366,RF03164,"JH601088.1/1222227-1222139_Helcococcus_kunzii_ATCC_51366_genomic_scaffold_supercont1.1,_whole_genome_shotgun_sequence_RF03164"
Deinococcaceae,Deinococcus deserti VCD115,RF03170,"CP001114.1/1034721-1034638_Deinococcus_deserti_VCD115,_complete_genome_RF03170"
Cellulomonadaceae,Cellulomonas aerilata,RF03170,"BJYY01000016.1/141550-141635_Cellulomonas_aerilata_NBRC_106308_DNA,_sequence16,_whole_genome_shotgun_sequence_RF03170"
Actinosynnemataceae,Lentzea albidocapillata,RF03170,"FWYC01000010.1/18991-18908_Lentzea_albidocapillata_strain_DSM_44073_genome_assembly,_contig:_LX89DRAFT_scaffold00008.8,_whole_genome_shotgun_sequence_RF03170"
Paenibacillaceae,Paenibacillus sp. GP183,RF03170,"FNSW01000002.1/287125-287206_Paenibacillus_sp._GP183_genome_assembly,_contig:_Ga0132018_12,_whole_genome_shotgun_sequence_RF03170"
Entomoplasmataceae,Mesoplasma corruscae,RF01510,"PHNF01000001.1/489179-489242_Mesoplasma_corruscae_strain_ELCA-2_meso03.02.1,_whole_genome_shotgun_sequence_RF01510"
Spiroplasmataceae,Spiroplasma gladiatoris,RF01510,"CP038013.1/236715-236778_Spiroplasma_gladiatoris_strain_TG-1_chromosome,_complete_genome_RF01510"
Ruminococcaceae,Subdoligranulum variabile DSM 15176,RF02680,"GG704769.1/449620-449525_Subdoligranulum_variabile_DSM_15176_genomic_scaffold_Scfld0,_whole_genome_shotgun_sequence_RF02680"
Hyphomicrobiaceae,Gemmiger formicilis,RF02680,"FUYF01000001.1/106772-106872_Gemmiger_formicilis_strain_ATCC_27749_genome_assembly,_contig:_EI45DRAFT_scaffold00001.1,_whole_genome_shotgun_sequence_RF02680"
