family,species,tree,seq_id
Enterobacteriaceae,Kosakonia cowanii JCM 10956 = DSM 18146,RF01750,"CP019446.1/100050-99968_Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain_888-76_plasmid_p888-76-1,_complete_sequence_RF01750"
Enterobacteriaceae,Enterobacteriaceae bacterium strain FGI 57,RF00442,"CP003938.1/2830592-2830494_Enterobacteriaceae_bacterium_strain_FGI_57,_complete_genome_RF00442"
Enterobacteriaceae,Klebsiella pneumoniae subsp. ozaenae,RF01750,"UGLZ01000005.1/1584573-1584494_Klebsiella_pneumoniae_subsp._ozaenae_strain_NCTC5050_genome_assembly,_contig:_ERS513128SCcontig000005,_whole_genome_shotgun_sequence_RF01750"
Enterobacteriaceae,Enterobacteriaceae bacterium RIT714,RF00442,"WJYB01000008.1/208016-208114_Enterobacteriaceae_bacterium_RIT714_8,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Brenneria goodwinii,RF03057,"CGIG01000001.1/5269912-5269852_Brenneria_goodwinii_strain_OBR1_genome_assembly,_contig:_Contig_RF03057"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. PLON1,RF03057,"RYVO01000052.1/35265-35210_RYVO01000052.1_MAG:_Candidatus_Symbiopectobacterium_sp._PLON1_n52_c_20.1,_whole_genome_shotgun_sequence_RF03057"
Enterobacteriaceae,Erwinia billingiae,RF03054,FP236843.1/3038236-3038184_Erwinia_billingiae_strain_Eb661_complete_chromosome_RF03054
Enterobacteriaceae,Mangrovibacter sp. MFB070,RF03054,"JJMI01000039.1/90841-90788_Mangrovibacter_sp._MFB070_Contig-039,_whole_genome_shotgun_sequence_RF03054"
Enterobacteriaceae,Klebsiella pneumoniae subsp. pneumoniae,RF03054,"CP003200.1/3006832-3006779_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,_complete_genome_RF03054"
Enterobacteriaceae,Brenneria rubrifaciens,RF00504,"CP034035.1/1969204-1969107_Brenneria_rubrifaciens_strain_6D370_chromosome,_complete_genome_RF00504"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. Dall1.0,RF00504,"RYVQ01000136.1/11496-11606_MAG:_Candidatus_Symbiopectobacterium_sp._Dall1.0_n136,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Lonsdalea quercina,RF00504,"FNQS01000002.1/147727-147822_Lonsdalea_quercina_strain_ATCC_29281_genome_assembly,_contig:_Ga0052894_scaffold00002.2,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Dickeya dadantii 3937,RF00504,"CP002038.1/2325303-2325397_Dickeya_dadantii_3937,_complete_genome_RF00504"
Enterobacteriaceae,Kluyvera genomosp. 3,RF00442,"CP022114.1/2463767-2463864_Kluyvera_genomosp._3_strain_YDC799_chromosome,_complete_genome_RF00442"
Enterobacteriaceae,Pantoea vagans,RF00442,"CP011427.1/3988230-3988136_Pantoea_vagans_strain_ND02_chromosome,_complete_genome_RF00442"
Enterobacteriaceae,Pantoea agglomerans,RF00442,"UGSO01000002.1/102887-102985_Pantoea_agglomerans_strain_NCTC9381_genome_assembly,_contig:_ERS513136SCcontig000002,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Gibbsiella quercinecans,RF00442,"CP014136.1/2467410-2467508_Gibbsiella_quercinecans_strain_FRB97_chromosome,_complete_genome_RF00442"
Enterobacteriaceae,Pantoea ananatis LMG 20103,RF00442,"CP001875.2/4526513-4526415_Pantoea_ananatis_LMG_20103,_complete_genome_RF00442"
Enterobacteriaceae,Klebsiella michiganensis,RF00442,"KK036986.1/3519122-3519024_Klebsiella_michiganensis_strain_MGH_27_adjbQ-supercont1.1,_whole_genome_shotgun_sequence_RF00442"
